timestamp,scream,flushed,stuckOutTongue,stuckOutTongueWinkingEye,wink,smirk,rage,disappointed,kissing,laughing,smiley,relaxed,BrowRaise,BrowFurrow,NoseWrinkle,UpperLipRaise,LipCornerDepressor,ChinRaise,LipPucker,LipPress,LipSuck,MouthOpen,Smirk,EyeClosure,Attention,EyeWiden,CheekRaise,LidTighten,Dimpler,LipStretch,JawDrop,InnerBrowRaise,Smile,Engagement,Valence,Contempt,Surprise,Anger,Sadness,Disgust,Fear,Joy,Glasses
0,0.02805962,0.00182914,0,0,0.001831262,1.901996E-06,0.001962312,0.001829311,0.001841061,0.00182836,0.001828545,0.001828625,0.01090974,3.546572E-06,3.633872E-09,3.750761E-09,0.0006773965,0.03589347,0.03589489,0.003284222,0.0003793297,0.4505355,5.164611E-06,3.118897E-06,98.69003,0.0001647176,2.38394E-07,0.01652327,0.003055157,0.0006923331,0.05274276,0.4953607,0.0007961397,0.08163126,0,0.1926621,0.1971027,0.001962312,0.02445852,0.4293689,0.004567579,0.001843711,1
0.03333334,0.02802729,0.001829147,0,0,0.001830295,1.901995E-06,0.001915895,0.001829297,0.001881539,0.001828698,0.001828798,0.001828851,0.0002038838,0.0002846073,1.169139E-08,1.362112E-09,0.0005919716,0.008038579,0.2725789,0.002346657,0.001171072,0.2585067,3.588977E-06,1.294493E-07,97.5957,0.007589659,9.423747E-09,0.009171342,0.005338747,0.003714499,0.03210366,0.9233279,7.107135E-05,0.08053991,0,0.1926736,0.1976677,0.001915895,0.02533007,0.427866,0.004609125,0.001837677,1
0.06666667,0.02800911,0.001829128,0,0,0.001829929,1.901994E-06,0.001918325,0.001829282,0.001884171,0.001828808,0.001828876,0.001828921,1.485315E-05,0.0004233091,6.447158E-10,2.224039E-11,0.0005018519,0.002130062,0.1785493,0.002496728,0.0009385064,0.09861492,2.527129E-06,3.685302E-08,97.66898,0.03119802,3.311593E-10,0.006254501,0.004110297,0.002656457,0.01102571,0.8793719,1.081937E-05,0.080002,0,0.1926749,0.1966681,0.001918325,0.02537141,0.4266287,0.004619831,0.001832319,1
0.1333333,0.02800145,0.001829118,0,0,0.001829732,1.901994E-06,0.001922732,0.001829312,0.0018882,0.001828869,0.00182892,0.001828958,3.530313E-06,0.0002375677,3.623626E-10,7.877564E-12,0.0009533829,0.002400519,0.2100371,0.002475081,0.0006253388,0.08667731,1.663402E-06,4.855225E-09,97.90461,0.02356107,1.160383E-10,0.005310869,0.004288319,0.003453669,0.01670367,0.8022612,5.343455E-06,0.08018093,0,0.1926743,0.1963165,0.001922732,0.0252579,0.4265392,0.004609539,0.001831943,1
0.2,0.02799573,0.001829111,0,0,0.001829615,1.901994E-06,0.001935191,0.001829311,0.001889401,0.001828906,0.001828948,0.001828981,1.710743E-06,0.0002301211,2.208948E-10,3.777304E-12,0.0006607324,0.001321627,0.1924066,0.00191144,0.0006885175,0.07013304,1.618562E-06,2.09718E-08,98.20635,0.05217534,6.010303E-11,0.005376248,0.003741622,0.003277564,0.01116536,0.6361021,3.881064E-06,0.08008006,0,0.1926743,0.19562,0.001935191,0.02496968,0.4264094,0.004610813,0.001831393,1
0.2666667,0.02799246,0.001829107,0,0,0.001829535,1.901993E-06,0.001929176,0.001829326,0.001886238,0.001828927,0.001828961,0.001828994,1.969726E-06,0.0004311907,3.679069E-10,2.28597E-12,0.0009421885,0.001778639,0.1229178,0.001904393,0.0006278876,0.06823387,1.380172E-06,1.169813E-08,97.99577,0.04227665,9.977857E-11,0.004378678,0.004274437,0.003475247,0.01439852,0.7204581,5.453629E-06,0.07968504,0,0.1926749,0.1959313,0.001929176,0.02512093,0.4263948,0.004612269,0.001831306,1
0.3333333,0.02799035,0.001829104,0,0,0.001829478,1.901993E-06,0.00192034,0.001829338,0.001883089,0.00182894,0.00182897,0.001829003,2.404188E-06,0.0004793407,1.996419E-09,1.900537E-11,0.0009717397,0.002050247,0.1045829,0.002113335,0.001024298,0.06307112,1.182908E-06,1.428808E-08,97.87766,0.03292541,1.947167E-10,0.004681486,0.004166046,0.003295881,0.01594538,0.8498251,8.171047E-06,0.07958111,0,0.1926751,0.1963998,0.00192034,0.02535056,0.4263446,0.004617647,0.001831129,1
0.4,0.0279888,0.001829102,0,0,0.001829434,1.901993E-06,0.001926935,0.001829351,0.001879769,0.001828951,0.001828977,0.00182901,3.142256E-06,0.0004552717,8.858468E-09,1.004329E-10,0.001074812,0.002105297,0.08190778,0.001472509,0.001399231,0.0567535,9.026218E-07,2.24026E-08,98.44899,0.05598291,2.037056E-10,0.004722505,0.00368962,0.002890777,0.01620781,0.7705835,7.809221E-06,0.0794523,0,0.192675,0.1961049,0.001926935,0.0252031,0.4262936,0.004622101,0.001830922,1
0.4666667,0.02798737,0.0018291,0,0,0.001829399,1.901993E-06,0.001930513,0.00182937,0.00187626,0.001828959,0.001828983,0.001829015,4.669632E-06,0.0004474472,6.828201E-08,1.115604E-09,0.001320821,0.002247248,0.05714995,0.001493868,0.001562266,0.05544635,7.019362E-07,8.43704E-09,98.54957,0.05073036,2.685147E-10,0.004839952,0.00335771,0.002163112,0.01422357,0.7100515,9.134537E-06,0.07931197,0,0.1926749,0.1958438,0.001930513,0.02510719,0.4262792,0.004615217,0.00183088,1
0.5333334,0.02798639,0.001829099,0,0,0.001829369,1.901993E-06,0.001918376,0.0018294,0.001873252,0.001828963,0.001828984,0.001829018,1.922872E-06,0.0006626981,2.568921E-08,3.039949E-10,0.001743988,0.001117269,0.05116711,0.001758776,0.002123598,0.03646279,8.974682E-07,2.281257E-08,98.40704,0.1250332,2.4549E-10,0.003697955,0.004076348,0.002099819,0.0158204,0.9737902,8.74401E-06,0.07927933,0,0.1926758,0.196934,0.001918376,0.02550568,0.4261216,0.004669862,0.001830222,1
