timestamp,scream,flushed,stuckOutTongue,stuckOutTongueWinkingEye,wink,smirk,rage,disappointed,kissing,laughing,smiley,relaxed,BrowRaise,BrowFurrow,NoseWrinkle,UpperLipRaise,LipCornerDepressor,ChinRaise,LipPucker,LipPress,LipSuck,MouthOpen,Smirk,EyeClosure,Attention,EyeWiden,CheekRaise,LidTighten,Dimpler,LipStretch,JawDrop,InnerBrowRaise,Smile,Engagement,Valence,Contempt,Surprise,Anger,Sadness,Disgust,Fear,Joy,Glasses
1.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1628105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1735211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.1,0.1356011,0.006145285,0,0,0.001829098,2.023861E-06,6.065537E-07,0.0018627,0.001829921,4.819369E-05,4.828829E-05,4.832878E-05,99.99991,6.045465E-05,6.267846E-08,1.691548E-05,0.1001631,0.2245113,0.00251021,0.2748636,0.002436498,7.845975,0.2794752,4.037783E-11,61.80217,6.665517,8.023861E-05,0.002165515,0.01428813,0.5323452,12.06518,99.4825,0.01540126,63.65499,0,0.1982405,77.6216,6.065537E-07,0.912093,0.4903095,0.001119205,8.016083E-05,1
5.166667,0.1518887,0.005179817,0,0,0.001829318,2.150235E-06,5.762682E-07,0.001846596,0.001829783,4.819364E-05,4.82442E-05,4.826588E-05,99.99991,3.530206E-05,9.048704E-09,3.550902E-07,0.004225233,0.09928959,0.001679511,0.3017044,0.01334579,4.194162,0.8090298,3.728615E-12,66.50897,4.590864,2.143658E-06,0.008266577,0.01767728,0.5606962,32.60204,98.86418,0.001064731,57.43391,0,0.2099154,82.2018,5.762682E-07,1.055616,0.4591376,0.0004554615,7.483564E-05,1
5.233333,0.1368042,0.005263951,0,0,0.001829438,2.33161E-06,9.747409E-07,0.001841222,0.001829686,4.819361E-05,4.823233E-05,4.824896E-05,99.99993,4.519165E-05,1.681741E-08,6.0231E-07,0.004167472,0.02624369,0.001222179,0.1545789,0.04419881,4.211133,1.567168,2.121439E-12,64.28307,5.987124,4.35652E-06,0.009154104,0.01113092,0.09654606,19.98822,84.46292,0.002453068,57.46358,0,0.2274605,73.18767,9.747409E-07,0.3888715,0.4585553,0.000619975,7.487569E-05,1
5.266667,0.1340097,0.005205878,0,0,0.001829479,2.319609E-06,9.399146E-07,0.001838508,0.001829742,4.819365E-05,4.822873E-05,4.824381E-05,99.99979,5.788959E-05,4.150053E-08,1.052225E-06,0.00385465,0.02042902,0.002478164,0.1921649,0.07486591,3.88098,0.8228388,2.157044E-11,63.01208,5.56581,7.650979E-06,0.008999091,0.01143243,0.1024361,25.82127,85.17057,0.003940105,56.88593,0,0.2101777,75.44531,9.399146E-07,0.4173598,0.455102,0.0004952022,7.444591E-05,1
5.333333,0.1255521,0.004641089,0,0,0.001829489,2.318895E-06,1.694777E-06,0.001836734,0.001829874,4.819489E-05,4.823264E-05,4.824886E-05,99.99633,5.349819E-05,7.602241E-08,1.937972E-06,0.001652819,0.01071883,0.003958691,0.1614508,0.1157535,4.366016,0.8863037,2.810752E-11,58.17936,1.452558,1.76721E-05,0.009689248,0.00833883,0.0479028,15.22163,63.42064,0.007888767,57.72749,0,0.2115343,60.97675,1.694777E-06,0.1107821,0.4580826,0.0003247292,7.516243E-05,1
5.4,0.117394,0.00418041,0,0,0.001831314,2.356176E-06,3.622286E-06,0.00183574,0.001829897,4.820729E-05,4.825133E-05,4.827055E-05,99.95898,0.0001228766,2.855451E-07,3.484409E-06,0.005071634,0.02464654,0.002784704,0.356767,0.4896471,3.1862,1.306241,0.0006635658,43.47218,0.1422742,3.573029E-05,0.02300033,0.01471347,0.04324393,14.98345,39.9446,0.01294484,55.59291,0,0.2210816,48.19031,3.622286E-06,0.02496709,0.4406773,0.000194294,7.371787E-05,1
5.466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.108032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
